tpb,gpuA,nX,time
576,56.0000,10063872,734.90848853
576,64.0000,10063872,774.47296372
576,72.0000,10063872,809.54930375
576,80.0000,10091520,841.57962175
640,0.0000,102400,7.00624216
640,8.0000,122880,5.81974311
640,16.0000,143360,7.52216530
640,24.0000,81920,6.72285992
640,32.0000,92160,7.07222119
640,40.0000,102400,7.16637051
640,48.0000,112640,10.30153935
640,56.0000,122880,10.50872462
640,64.0000,133120,10.91259339
640,72.0000,143360,13.78124432
640,80.0000,153600,14.05470428
640,0.0000,1024000,50.52966021
640,8.0000,1044480,42.11255009
640,16.0000,1003520,35.09786394
640,24.0000,983040,45.46002500
640,32.0000,1013760,55.69359849
640,40.0000,1024000,62.50888109
640,48.0000,1013760,68.46190682
640,56.0000,983040,70.03815401
640,64.0000,1064960,80.11057027
640,72.0000,1003520,79.23387346
640,80.0000,1075200,86.92068477
640,0.0000,10035200,525.20371382
640,8.0000,10014720,398.21766199
640,16.0000,10035200,345.31904828
640,24.0000,9994240,450.72456437
640,32.0000,10045440,538.79865815
640,40.0000,10035200,604.95838286
640,48.0000,10024960,658.32172358
640,56.0000,10076160,707.46523284
640,64.0000,9984000,738.71572339
640,72.0000,10035200,777.79092013
640,80.0000,9984000,800.15625036
704,0.0000,112640,7.47839765
704,8.0000,135168,6.75518918
704,16.0000,157696,9.06959877
704,24.0000,90112,6.29340500
704,32.0000,101376,9.06985568
704,40.0000,112640,9.33081285
704,48.0000,123904,12.12607684
704,56.0000,135168,12.37505235
704,64.0000,146432,15.18548609
704,72.0000,157696,15.45037876
704,80.0000,168960,18.23159408
704,0.0000,1013760,49.61647584
704,8.0000,1013760,41.05735862
704,16.0000,1025024,42.87386389
704,24.0000,991232,54.76249143
704,32.0000,1013760,66.43152536
704,40.0000,1013760,74.00020583
704,48.0000,991232,78.90183537
704,56.0000,1081344,91.70151243
704,64.0000,1025024,91.74015501
704,72.0000,1103872,103.17358477
704,80.0000,1013760,98.20175862
704,0.0000,10024960,479.49592942
704,8.0000,10002432,399.95253833
704,16.0000,10013696,412.79923112
704,24.0000,10002432,541.22027605
704,32.0000,10036224,645.27102072
704,40.0000,10024960,724.83247771
704,48.0000,10036224,791.02233800
704,56.0000,10002432,843.84232993
704,64.0000,10103808,899.15075739
704,72.0000,10092544,937.96942675
704,80.0000,9968640,961.71914503
768,0.0000,122880,8.38900231
768,8.0000,147456,6.69644361
768,16.0000,86016,6.77167573
768,24.0000,98304,6.61414749
768,32.0000,110592,9.59611351
768,40.0000,122880,9.89314098
768,48.0000,135168,12.73988365
768,56.0000,147456,13.12676325
768,64.0000,159744,15.99882149
768,72.0000,172032,16.33471850
768,80.0000,184320,19.29481309
768,0.0000,1044480,52.60632379
768,8.0000,1032192,41.72224387
768,16.0000,1032192,42.07228059
768,24.0000,983040,51.69344023
768,32.0000,995328,62.94825682
768,40.0000,983040,69.79446179
768,48.0000,1081344,83.07516856
768,56.0000,1032192,84.74852679
768,64.0000,1118208,95.95243108
768,72.0000,1032192,93.47479673
768,80.0000,1105920,103.27372770
768,0.0000,10014720,478.88870369
768,8.0000,10027008,398.01778237
768,16.0000,10063872,397.52766068
768,24.0000,10027008,525.90594399
768,32.0000,10063872,617.38370396
768,40.0000,10076160,693.04408049
768,48.0000,10002432,755.43062679
768,56.0000,10027008,805.48324066
768,64.0000,10063872,857.36727986
768,72.0000,9977856,886.89636744
768,80.0000,10137600,933.36884846
64,0.0000,5002240,310.19020052
64,8.0000,5001216,259.90924325
64,16.0000,5003264,225.66952882
64,24.0000,5005312,293.74366275
64,32.0000,5004288,348.28793507
64,40.0000,5007360,390.74385461
64,48.0000,5001216,425.53094867
64,56.0000,5001216,454.88768826
64,64.0000,5005312,480.04897734
64,72.0000,5003264,501.12509880
64,80.0000,5007360,519.94932393
128,0.0000,5007360,278.18225634
128,8.0000,5001216,227.91803312
128,16.0000,5003264,198.78319230
128,24.0000,4997120,206.14117622
128,32.0000,5013504,244.72338894
128,40.0000,4997120,274.06833376
128,48.0000,5001216,299.14152508
128,56.0000,5013504,320.54456754
128,64.0000,5005312,337.39581704
128,72.0000,5017600,353.36930245
128,80.0000,5007360,365.38982639
192,0.0000,5007360,260.08971570
192,8.0000,5013504,220.37195389
192,16.0000,5010432,185.85665802
192,24.0000,5013504,203.54481167
192,32.0000,5004288,240.24586073
192,40.0000,5007360,270.20703377
192,48.0000,5001216,294.17089346
192,56.0000,5013504,315.29774554
192,64.0000,4992000,331.07017311
192,72.0000,5031936,348.46277518
192,80.0000,5022720,360.66282166
256,0.0000,4997120,257.84102073
256,8.0000,5013504,212.15639771
256,16.0000,5017600,196.27299373
256,24.0000,5013504,202.33688840
256,32.0000,5013504,238.07370501
256,40.0000,4997120,266.70820821
256,48.0000,5001216,291.00064829
256,56.0000,5013504,311.80801997
256,64.0000,5005312,328.43257876
256,72.0000,4988928,341.69048356
256,80.0000,5038080,357.76239434
320,0.0000,5017600,248.21027404
320,8.0000,5007360,208.08402508
320,16.0000,5017600,177.49474399
320,24.0000,4997120,212.65133742
320,32.0000,5022720,253.77217976
320,40.0000,5017600,284.76169895
320,48.0000,5012480,310.31965027
320,56.0000,5038080,333.38963985
320,64.0000,4992000,348.48864353
320,72.0000,5017600,365.66343809
320,80.0000,4992000,377.07976169
384,0.0000,5007360,244.53491446
384,8.0000,5013504,203.89786315
