tpb,gpuA,nX,time
448,16.0000,100352,305.67931632
448,24.0000,114688,334.09039061
448,32.0000,129024,431.37324235
448,40.0000,143360,529.97011632
448,48.0000,157696,629.01887392
448,56.0000,86016,383.06536301
448,64.0000,93184,434.50420101
448,72.0000,100352,481.13691192
448,80.0000,107520,532.93018469
448,0.0000,1003520,4310.14532371
448,8.0000,1032192,3683.99542594
448,16.0000,1003520,3054.43665101
448,24.0000,1032192,2799.33554194
448,32.0000,1032192,3305.88381205
448,40.0000,1003520,3613.52070930
448,48.0000,1025024,4021.37870708
448,56.0000,1032192,4335.82587848
448,64.0000,1025024,4541.91854667
448,72.0000,1003520,4644.43303645
448,80.0000,1075200,5158.69916195
448,0.0000,9999360,42753.53992033
448,8.0000,10020864,35690.19331582
448,16.0000,10035200,30942.80593925
448,24.0000,10035200,26978.11320069
448,32.0000,9999360,31853.37486248
448,40.0000,10035200,35970.73623585
448,48.0000,10013696,39147.78147425
448,56.0000,10063872,42070.55690506
448,64.0000,10063872,44372.26314275
448,72.0000,10035200,46224.61977932
448,80.0000,9999360,47760.33841901
512,0.0000,122880,628.64188046
512,8.0000,98304,351.50845846
512,16.0000,114688,350.73906775
512,24.0000,131072,357.79192925
512,32.0000,147456,437.35800991
512,40.0000,81920,290.29809530
512,48.0000,90112,340.18378291
512,56.0000,98304,388.41975823
512,64.0000,106496,440.29214907
512,72.0000,114688,488.06411879
512,80.0000,122880,541.18637409
512,0.0000,1024000,4397.64792839
512,8.0000,1032192,3681.34399492
512,16.0000,1032192,3160.76462586
512,24.0000,1048576,2804.40365156
512,32.0000,1032192,2931.70335510
512,40.0000,983040,3146.35268989
512,48.0000,991232,3454.67113786
512,56.0000,983040,3662.16271170
512,64.0000,1064960,4183.68153392
512,72.0000,1032192,4232.25458889
512,80.0000,983040,4182.76922216
512,0.0000,9994240,42710.97096895
512,8.0000,10027008,35914.88641761
512,16.0000,10035200,30721.35168172
512,24.0000,10027008,26801.35021607
