tpb,gpuA,nX,time
192,16.0000,107520,72.66462114
192,24.0000,98304,93.78081149
192,32.0000,110592,100.28694112
192,40.0000,122880,83.06829436
192,48.0000,101376,94.24677730
192,56.0000,110592,95.94300492
192,64.0000,119808,99.07669356
192,72.0000,129024,97.84950721
192,80.0000,92160,90.18103782
192,0.0000,998400,106.27918521
192,8.0000,1013760,111.02913988
192,16.0000,1010688,158.90806307
192,24.0000,1007616,184.59757258
192,32.0000,995328,208.71340743
192,40.0000,1013760,229.91795128
192,48.0000,1013760,248.16994786
192,56.0000,995328,258.09984745
192,64.0000,998400,269.79966614
192,72.0000,1032192,285.16263892
192,80.0000,1013760,288.69151044
192,0.0000,9999360,10954.30608166
192,8.0000,10008576,7352.97680354
192,16.0000,9999360,2675.80256308
192,24.0000,10002432,1384.49703453
192,32.0000,10008576,1633.12208878
192,40.0000,10014720,1831.50313043
192,48.0000,10002432,2019.97969855
192,56.0000,10027008,2122.74461465
192,64.0000,10023936,2239.01985729
192,72.0000,10020864,2335.51367695
192,80.0000,9999360,2418.09059135
256,0.0000,102400,83.28218090
256,8.0000,98304,96.37562956
256,16.0000,114688,94.92330388
256,24.0000,98304,90.54692052
256,32.0000,110592,91.07669588
256,40.0000,122880,95.14959948
256,48.0000,90112,90.22424903
256,56.0000,98304,82.45482635
256,64.0000,106496,86.62961303
256,72.0000,114688,87.53791856
256,80.0000,122880,90.34732647
256,0.0000,1003520,107.23893890
256,8.0000,1007616,109.95160138
256,16.0000,1003520,157.05194803
256,24.0000,1015808,184.18514099
256,32.0000,995328,208.53442363
256,40.0000,1024000,231.36333933
256,48.0000,991232,243.06939236
256,56.0000,1032192,264.86655556
256,64.0000,1011712,272.02700419
256,72.0000,1032192,283.98815235
256,80.0000,1044480,294.94510782
256,0.0000,10014720,11006.47142545
256,8.0000,10002432,7096.14203719
256,16.0000,10006528,2273.67171681
256,24.0000,9994240,1381.71450698
256,32.0000,10027008,1633.00635427
256,40.0000,9994240,1823.10424264
256,48.0000,10002432,1983.63857289
256,56.0000,10027008,2120.79626007
256,64.0000,10010624,2232.14724893
256,72.0000,10035200,2333.78052014
256,80.0000,10014720,2415.08909919
320,0.0000,102400,88.06954157
